"name","player","winner","player_rank","opponent_rank"
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,3
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,5
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,6
"Barclays ATP World Tour Finals","Novak Djokovic",0,1,3
"Barclays ATP World Tour Finals","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,3
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,15
"ATP World Tour Masters 1000 Paris","Novak Djokovic",1,1,40
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,15
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,20
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,17
"ATP World Tour Masters 1000 Shanghai","Novak Djokovic",1,1,44
"Beijing","Novak Djokovic",1,1,8
"Beijing","Novak Djokovic",1,1,7
"Beijing","Novak Djokovic",1,1,13
"Beijing","Novak Djokovic",1,1,219
"Beijing","Novak Djokovic",1,1,59
"US Open","Novak Djokovic",1,1,2
"US Open","Novak Djokovic",1,1,9
"US Open","Novak Djokovic",1,1,19
"US Open","Novak Djokovic",1,1,23
"US Open","Novak Djokovic",1,1,25
"US Open","Novak Djokovic",1,1,52
"US Open","Novak Djokovic",1,1,91
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",0,1,3
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,66
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,14
"ATP World Tour Masters 1000 Cincinnati","Novak Djokovic",1,1,42
"ATP World Tour Masters 1000 Canada","Novak Djokovic",0,1,3
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,49
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,87
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,35
"ATP World Tour Masters 1000 Canada","Novak Djokovic",1,1,33
"Wimbledon","Novak Djokovic",1,1,2
"Wimbledon","Novak Djokovic",1,1,20
"Wimbledon","Novak Djokovic",1,1,9
"Wimbledon","Novak Djokovic",1,1,14
"Wimbledon","Novak Djokovic",1,1,26
"Wimbledon","Novak Djokovic",1,1,92
"Wimbledon","Novak Djokovic",1,1,33
"Roland Garros","Novak Djokovic",0,1,9
"Roland Garros","Novak Djokovic",1,1,3
"Roland Garros","Novak Djokovic",1,1,7
"Roland Garros","Novak Djokovic",1,1,21
"Roland Garros","Novak Djokovic",1,1,84
"Roland Garros","Novak Djokovic",1,1,55
"Roland Garros","Novak Djokovic",1,1,87
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,6
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,68
"ATP World Tour Masters 1000 Rome","Novak Djokovic",1,1,174
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,8
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,5
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,10
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,52
"ATP World Tour Masters 1000 Monte Carlo","Novak Djokovic",1,1,67
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,24
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,7
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,65
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,84
"ATP World Tour Masters 1000 Miami","Novak Djokovic",1,1,41
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,2
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,4
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,35
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,20
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,68
"ATP World Tour Masters 1000 Indian Wells","Novak Djokovic",1,1,61
"SRB vs. CRO WG 1st RD","Novak Djokovic",1,1,158
"Dubai","Novak Djokovic",0,1,2
"Dubai","Novak Djokovic",1,1,8
"Dubai","Novak Djokovic",1,1,104
"Dubai","Novak Djokovic",1,1,107
"Dubai","Novak Djokovic",1,1,63
"Australian Open","Novak Djokovic",1,1,6
"Australian Open","Novak Djokovic",1,1,4
"Australian Open","Novak Djokovic",1,1,8
"Australian Open","Novak Djokovic",1,1,42
"Australian Open","Novak Djokovic",1,1,33
"Australian Open","Novak Djokovic",1,1,88
"Australian Open","Novak Djokovic",1,1,116
"Doha","Novak Djokovic",0,1,27
"Doha","Novak Djokovic",1,1,57
"Doha","Novak Djokovic",1,1,68
"BEL vs.GBR DC Final","Andy Murray",1,2,16
"BEL vs.GBR DC Final","Andy Murray",1,2,108
"Barclays ATP World Tour Finals","Andy Murray",0,2,4
"Barclays ATP World Tour Finals","Andy Murray",0,2,5
"Barclays ATP World Tour Finals","Andy Murray",1,2,7
"ATP World Tour Masters 1000 Paris","Andy Murray",0,3,1
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,8
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,9
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,16
"ATP World Tour Masters 1000 Paris","Andy Murray",1,3,46
"ATP World Tour Masters 1000 Shanghai","Andy Murray",0,2,1
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,5
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,13
"ATP World Tour Masters 1000 Shanghai","Andy Murray",1,2,47
"GBR vs. AUS WG SF","Andy Murray",1,3,23
"GBR vs. AUS WG SF","Andy Murray",1,3,72
"US Open","Andy Murray",0,3,14
"US Open","Andy Murray",1,3,30
"US Open","Andy Murray",1,3,35
"US Open","Andy Murray",1,3,37
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",0,2,3
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,13
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,17
"ATP World Tour Masters 1000 Cincinnati","Andy Murray",1,2,1034
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,1
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,4
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,24
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,46
"ATP World Tour Masters 1000 Canada","Andy Murray",1,3,22
"Washington","Andy Murray",0,3,53
"GBR vs. FRA WG QF","Andy Murray",1,3,11
"GBR vs. FRA WG QF","Andy Murray",1,3,12
"Wimbledon","Andy Murray",0,3,2
"Wimbledon","Andy Murray",1,3,56
"Wimbledon","Andy Murray",1,3,25
"Wimbledon","Andy Murray",1,3,27
"Wimbledon","Andy Murray",1,3,78
"Wimbledon","Andy Murray",1,3,59
"London / Queen's Club","Andy Murray",1,3,17
"London / Queen's Club","Andy Murray",1,3,25
"London / Queen's Club","Andy Murray",1,3,48
"London / Queen's Club","Andy Murray",1,3,42
"London / Queen's Club","Andy Murray",1,3,63
"Roland Garros","Andy Murray",0,3,1
"Roland Garros","Andy Murray",1,3,8
"Roland Garros","Andy Murray",1,3,45
"Roland Garros","Andy Murray",1,3,30
"Roland Garros","Andy Murray",1,3,44
"Roland Garros","Andy Murray",1,3,137
"ATP World Tour Masters 1000 Rome","Andy Murray",0,3,20
"ATP World Tour Masters 1000 Rome","Andy Murray",1,3,38
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,4
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,5
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,6
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,62
"ATP World Tour Masters 1000 Madrid","Andy Murray",1,3,24
"Munich","Andy Murray",1,3,26
"Munich","Andy Murray",1,3,16
"Munich","Andy Murray",1,3,41
"Munich","Andy Murray",1,3,653
"ATP World Tour Masters 1000 Miami","Andy Murray",0,4,1
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,9
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,52
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,17
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,31
"ATP World Tour Masters 1000 Miami","Andy Murray",1,4,44
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",0,4,1
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,12
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,38
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,29
"ATP World Tour Masters 1000 Indian Wells","Andy Murray",1,4,62
"GBR vs. USA WG 1st RD","Andy Murray",1,5,20
"GBR vs. USA WG 1st RD","Andy Murray",1,5,47
"Dubai","Andy Murray",0,3,84
"Dubai","Andy Murray",1,3,50
"Dubai","Andy Murray",1,3,35
"Rotterdam","Andy Murray",0,4,19
"Rotterdam","Andy Murray",1,4,59
"Rotterdam","Andy Murray",1,4,109
"Australian Open","Andy Murray",0,6,1
"Australian Open","Andy Murray",1,6,7
"Australian Open","Andy Murray",1,6,53
"Australian Open","Andy Murray",1,6,11
"Australian Open","Andy Murray",1,6,55
"Australian Open","Andy Murray",1,6,81
"Australian Open","Andy Murray",1,6,317
"Barclays ATP World Tour Finals","Roger Federer",0,3,1
"Barclays ATP World Tour Finals","Roger Federer",1,3,4
"Barclays ATP World Tour Finals","Roger Federer",1,3,8
"Barclays ATP World Tour Finals","Roger Federer",1,3,1
"Barclays ATP World Tour Finals","Roger Federer",1,3,6
"ATP World Tour Masters 1000 Paris","Roger Federer",0,2,13
