"name","location","start_date","end_date","draw","matches","surface","prize","tier"
"Aircel Chennai Open","Chennai, India",2016-01-04,2016-01-10,28,27,"Outdoor Hard","$482085","250"
"Qatar ExxonMobil Open","Doha, Qatar",2016-01-04,2016-01-10,32,31,"Outdoor Hard","$1283855","250"
"Brisbane International presented by Suncorp","Brisbane, Australia",2016-01-04,2016-01-10,28,27,"Outdoor Hard","$461330","250"
"ASB Classic","Auckland, New Zealand",2016-01-11,2016-01-17,28,27,"Outdoor Hard","$520070","250"
"Apia International Sydney","Sydney, Australia",2016-01-11,2016-01-17,28,27,"Outdoor Hard","$461330","250"
"Australian Open","Melbourne, Australia",2016-01-18,2016-01-31,128,127,"Outdoor Hard","A$19703000","Grand Slam"
"Ecuador Open Quito","Quito, Ecuador",2016-02-01,2016-02-07,28,27,"Outdoor Clay","$520070","250"
"Open Sud de France","Montpellier, France",2016-02-01,2016-02-07,28,27,"Indoor Hard","€520070","250"
"Garanti Koza Sofia Open","Sofia, Bulgaria",2016-02-01,2016-02-07,28,27,"Indoor Hard","€520070","250"
"Argentina Open","Buenos Aires, Argentina",2016-02-08,2016-02-14,28,27,"Outdoor Clay","$598865","250"
"ABN AMRO World Tennis Tournament","Rotterdam, Netherlands",2016-02-08,2016-02-14,32,31,"Indoor Hard","€1722820","500"
"Memphis Open","Memphis, TN, U.S.A.",2016-02-08,2016-02-14,28,27,"Indoor Hard","$693425","250"
"Rio Open presented by Claro","Rio de Janeiro, Brazil",2016-02-15,2016-02-21,32,31,"Outdoor Clay","$1471315","500"
"Open 13 Provence","Marseille, France",2016-02-15,2016-02-21,28,27,"Indoor Hard","€665910","250"
"Delray Beach Open","Delray Beach, FL, U.S.A.",2016-02-15,2016-02-21,32,31,"Outdoor Hard","$576900","250"
"Brasil Open","Sao Paulo, Brazil",2016-02-22,2016-02-28,28,27,"Outdoor Clay","$499055","250"
"Dubai Duty Free Tennis Championships","Dubai, U.A.E.",2016-02-22,2016-02-27,32,31,"Outdoor Hard","$2674445","500"
"Abierto Mexicano Telcel","Acapulco, Mexico",2016-02-22,2016-02-27,32,31,"Outdoor Hard","$1551830","500"
"Davis Cup First Round","Multiple Locations",2016-03-04,2016-03-06,4,3,"Outdoor",NA,"itf"
"BNP Paribas Open","Indian Wells, CA, U.S.A.",2016-03-10,2016-03-20,96,95,"Outdoor Hard","$7037595","1000"
"Miami Open presented by Itau","Miami, FL, U.S.A.",2016-03-23,2016-04-03,96,95,"Outdoor Hard","$7037595","1000"
"Fayez Sarofim & Co US Men's Clay Court Championship","Houston, TX, U.S.A.",2016-04-04,2016-04-10,28,27,"Outdoor Clay","$577860","250"
"Grand Prix Hassan II","Marrakech, Morocco",2016-04-04,2016-04-10,28,27,"Outdoor Clay","€520070","250"
"Monte-Carlo Rolex Masters","Monte Carlo, Monaco",2016-04-10,2016-04-17,56,55,"Outdoor Clay","€4094505","1000"
"Barcelona Open BancSabadell","Barcelona, Spain",2016-04-18,2016-04-24,48,47,"Outdoor Clay","€2428355","500"
"BRD Nastase Tiriac Trophy","Bucharest, Romania",2016-04-18,2016-04-24,28,27,"Outdoor Clay","€520070","250"
"TEB BNP Paribas Istanbul Open","Istanbul, Turkey",2016-04-25,2016-05-01,28,27,"Outdoor Clay","€483080","250"
"BMW Open by FWU AG","Munich, Germany",2016-04-25,2016-05-01,28,27,"Outdoor Clay","€520070","250"
"Millennium Estoril Open","Estoril, Portugal",2016-04-25,2016-05-01,28,27,"Outdoor Clay","€520070","250"
"Mutua Madrid Open","Madrid, Spain",2016-05-01,2016-05-08,56,55,"Outdoor Clay","€5719660","1000"
"Internazionali BNL d'Italia","Rome, Italy",2016-05-08,2016-05-15,56,55,"Outdoor Clay","€4300755","1000"
"Open de Nice Cote d'Azur","Nice, France",2016-05-15,2016-05-21,28,27,"Outdoor Clay","€520070","250"
"Banque Eric Sturdza Geneva Open","Geneva, Switzerland",2016-05-15,2016-05-21,28,27,"Outdoor Clay","€556195","250"
"Roland Garros","Paris, France",2016-05-22,2016-06-05,128,127,"Outdoor Clay","€16008750","Grand Slam"
"Ricoh Open","s-Hertogenbosch, Netherlands",2016-06-06,2016-06-13,28,27,"Outdoor Grass","€635645","250"
"Mercedes Cup","Stuttgart, Germany",2016-06-06,2016-06-13,28,27,"Outdoor Grass","€675645","250"
"Gerry Weber Open","Halle, Germany",2016-06-13,2016-06-19,32,31,"Outdoor Grass","€1826275","500"
"Aegon Championships","London, Great Britain",2016-06-13,2016-06-19,32,31,"Outdoor Grass","€1928610","500"
"Aegon Open Nottingham","Nottingham, Great Britain",2016-06-19,2016-06-25,48,47,"Outdoor Grass","€704805","250"
"Wimbledon","London, Great Britain",2016-06-27,2016-07-10,128,127,"Outdoor Grass","&#163;13163000","Grand Slam"
"German Tennis Championships 2016","Hamburg, Germany",2016-07-11,2016-07-17,32,31,"Outdoor Clay","€1514495","500"
"Hall of Fame Tennis Championships","Newport, RI, U.S.A.",2016-07-11,2016-07-17,28,27,"Outdoor Grass","$577860","250"
"SkiStar Swedish Open","Bastad, Sweden",2016-07-11,2016-07-17,28,27,"Outdoor Clay","€520070","250"
"Davis Cup Quarter-Finals","Multiple Locations",2016-07-15,2016-07-17,4,3,"Outdoor",NA,"itf"
"Citi Open","Washington, DC, U.S.A.",2016-07-18,2016-07-24,48,47,"Outdoor Hard","$1877705","500"
"Konzum Croatia Open Umag","Umag, Croatia",2016-07-18,2016-07-24,28,27,"Outdoor Clay","€520070","250"
"J. Safra Sarasin Swiss Open Gstaad","Gstaad, Switzerland",2016-07-18,2016-07-24,28,27,"Outdoor Clay","€520070","250"
"Generali Open","Kitzbuhel, Austria",2016-07-18,2016-07-23,28,27,"Outdoor Clay","€520070","250"
"Rogers Cup","Toronto, Canada",2016-07-25,2016-07-31,56,55,"Outdoor Hard","$4691730","1000"
"BB&T Atlanta Open","Atlanta, GA, U.S.A.",2016-08-01,2016-08-07,28,27,"Outdoor Hard","$693425","250"
"Rio de Janeiro Olympic Games","Rio de Janeiro, Brazil",2016-08-04,2016-08-14,64,63,"Outdoor Hard",NA,"itf"
"Abierto Mexicano Mifel","Los Cabos, Mexico",2016-08-08,2016-08-13,28,27,"Outdoor Hard","$808995","250"
"Western & Southern Open","Cincinnati, OH, U.S.A.",2016-08-14,2016-08-21,56,55,"Outdoor Hard","$5004505","1000"
"Winston-Salem Open","Winston-Salem, NC, U.S.A.",2016-08-21,2016-08-27,48,47,"Outdoor Hard","$720940","250"
"US Open","New York, NY, U.S.A.",2016-08-29,2016-09-11,128,127,"Outdoor Hard","$21862744","Grand Slam"
"Davis Cup Semi-Finals","Multiple Locations",2016-09-16,2016-09-18,4,3,"Outdoor",NA,"itf"
