"name","ioc","ht","ace_avg"
"Abdullah Maqdas","KUW",NA,NA
"Aditya Hari Sasongko","INA",NA,NA
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Mannarino","FRA",183,0.0583294447036864
"Adrian Menendez Maceiras","ESP",NA,0.0665188470066519
"Adrian Menendez Maceiras","ESP",NA,0.0665188470066519
"Adrian Menendez Maceiras","ESP",NA,0.0665188470066519
"Adrian Menendez Maceiras","ESP",NA,0.0665188470066519
"Adrian Ungur","ROU",178,NA
"Adrien Bossel","SUI",NA,0.106666666666667
"Adrien Bossel","SUI",NA,0.106666666666667
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Montanes","ESP",175,0.037827352085354
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Albert Ramos","ESP",188,0.0479475681269403
"Alberto Emmanuel Alvarado Larin","ESA",NA,NA
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Falla","COL",185,0.0407142857142857
"Alejandro Gomez GB42","COL",NA,0.0748663101604278
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Alejandro Gonzalez","COL",NA,0.0414258188824663
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Aleksandr Nedovyesov","KAZ",NA,0.0364238410596026
"Alex Bolt","AUS",NA,0.0508474576271186
"Alex Knaff","LUX",NA,NA
"Alex Llompart","PUR",NA,NA
"Alexander Kudryavtsev","RUS",183,0.0656370656370656
"Alexander Kudryavtsev","RUS",183,0.0656370656370656
"Alexander Lazov","BUL",NA,NA
"Alexander Lazov","BUL",NA,NA
"Alexander Sarkissian","USA",NA,0.122950819672131
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexander Zverev","GER",NA,0.0760014975664545
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
"Alexandr Dolgopolov","UKR",180,0.0906074527820317
