"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","1stIn","1stWon","2ndWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Tokyo","2015-329:1","Hard","Stan Wawrinka","R",4,"R32",11,2,57,37,30,12,11,0,1,1,9,0,-14,-9,-3,2,1,-2,-4
"Tokyo","2015-329:2","Hard","Tatsuma Ito","R",127,"R32",5,3,93,44,27,25,14,9,14,1,4,-1,-3,-8,2,2,1,-3,-5
"Tokyo","2015-329:3","Hard","Austin Krajicek","L",124,"R32",10,3,128,80,65,22,18,4,7,1,-5,-4,0,6,5,-5,0,-5,-4
"Tokyo","2015-329:4","Hard","Joao Sousa","R",45,"R32",7,1,83,52,38,17,14,4,6,1,-2,-4,-2,10,11,-4,1,0,-2
"Tokyo","2015-329:5","Hard","Gilles Simon","R",10,"R32",1,1,67,37,26,17,10,4,6,1,1,-4,6,4,2,7,0,3,1
"Tokyo","2015-329:6","Hard","Jiri Vesely","L",40,"R32",5,3,66,42,31,12,10,7,8,1,-5,3,16,10,7,3,0,7,5
"Tokyo","2015-329:7","Hard","Jeremy Chardy","R",27,"R32",2,1,23,16,15,5,5,0,0,1,-6,-4,-20,-6,0,-2,-1,-5,-8
"Tokyo","2015-329:8","Hard","Gilles Muller","L",43,"R32",7,3,54,28,22,17,9,4,4,1,3,-2,8,9,7,8,1,2,-1
"Tokyo","2015-329:9","Hard","Benoit Paire","R",32,"R32",11,4,92,46,39,21,13,12,13,1,8,-1,19,-3,2,11,0,11,9
"Tokyo","2015-329:10","Hard","Marcos Baghdatis","R",49,"R32",6,1,69,41,30,15,10,4,5,1,2,1,23,14,15,5,1,3,0
"Tokyo","2015-329:11","Hard","Nick Kyrgios","R",34,"R32",12,3,88,50,40,22,15,1,2,1,5,0,-17,-15,-3,2,0,-10,-13
"Tokyo","2015-329:12","Hard","Roberto Bautista Agut","R",22,"R32",4,3,44,23,17,10,8,3,5,1,1,2,-19,-10,-2,-1,-1,-4,-8
"Tokyo","2015-329:13","Hard","Marin Cilic","R",14,"R32",13,3,115,56,47,24,17,6,9,1,8,-4,-14,-7,3,-7,0,-4,-5
"Tokyo","2015-329:14","Hard","Steve Johnson","R",48,"R32",8,2,31,17,14,8,6,1,2,1,6,1,-9,-2,1,2,0,-2,-4
"Tokyo","2015-329:15","Hard","Sam Querrey","R",50,"R32",6,0,65,37,27,19,11,1,2,1,3,-3,-9,-13,-7,8,0,0,-1
"Tokyo","2015-329:16","Hard","Kei Nishikori","R",6,"R32",6,4,83,40,29,22,12,8,10,1,3,1,-2,-17,-5,11,1,0,-2
"Tokyo","2015-329:17","Hard","Stan Wawrinka","R",4,"R16",7,1,92,48,35,23,14,5,8,1,2,1,10,-3,-2,9,1,1,1
"Tokyo","2015-329:18","Hard","Austin Krajicek","L",124,"R16",11,4,100,71,51,11,14,8,10,1,1,2,9,18,10,-5,1,3,3
"Tokyo","2015-329:19","Hard","Gilles Simon","R",10,"R16",4,2,57,42,29,7,9,5,7,1,0,0,-5,6,11,-6,0,1,-2
"Tokyo","2015-329:20","Hard","Gilles Muller","L",43,"R16",17,5,85,51,45,17,12,7,7,1,12,-1,0,5,6,-5,0,5,5
"Tokyo","2015-329:21","Hard","Benoit Paire","R",32,"R16",5,9,83,41,34,18,15,3,7,1,1,6,-13,-14,-2,-1,1,-1,-1
"Tokyo","2015-329:22","Hard","Nick Kyrgios","R",34,"R16",8,0,45,27,23,14,9,0,0,1,5,-1,-4,-5,0,8,0,-1,-4
"Tokyo","2015-329:23","Hard","Marin Cilic","R",14,"R16",5,2,56,33,25,17,9,5,5,1,2,0,-7,-9,-2,10,0,-1,-4
"Tokyo","2015-329:24","Hard","Kei Nishikori","R",6,"R16",7,1,52,36,33,10,10,0,0,1,-3,-1,-19,-4,5,-6,-1,-1,-3
"Tokyo","2015-329:25","Hard","Stan Wawrinka","R",4,"QF",9,1,61,32,26,18,10,2,2,1,5,-1,14,2,2,10,1,0,-2
"Tokyo","2015-329:26","Hard","Gilles Muller","L",43,"QF",8,5,79,38,32,17,10,7,8,1,6,3,17,-2,6,8,1,6,4
