"tourney_name","match_id","surface","name","hand","rank","round","ace","df","svpt","FirstIn","FirstWon","SecondWon","SvGms","bpSaved","bpFaced","winner","diff_ace","diff_df","diff_svpt","diff_1stIn","diff_1stWon","diff_2ndWon","diff_SvGms","diff_bpSaved","diff_bpFaced"
"Doha","2015-451:19","Hard","David Ferrer","R",-0.481069550733138,"R16",-0.792623283349297,-0.00309841889199019,-1.20746278831206,-0.959650053639901,-0.871727909328779,-1.01118084402257,-1.10932406359224,-0.96842961110089,-1.05202401652204,1,0.124232179746615,-0.353263300911486,-2.0173971286674,-1.53772585035413,-0.461987507227945,-0.00232509656438621,-1.36160323795238,-1.71255914999718,-1.90915240298571
"Australian Open","2015-580:27","Hard","Stephane Robert","R",0.187966357317816,"R128",0.0157409671496757,1.21891799210895,0.432956825988159,-0.08166208266234,-0.367840632398396,0.98815173076617,0.355414505811107,1.28552458745529,1.49405485956812,0,-0.408442272422962,0.952927754208735,-0.00705116274390005,-0.719412804505875,-1.29275856325833,0.806808507842014,-1.36160323795238,-0.237742332385945,0.343795074594003
"Zagreb","2015-2276:12","Hard","Igor Sijsling","R",0.0124815289765821,"R32",0.500759517449059,-0.817776026225951,-0.422914277125001,-0.356033323592828,-0.151888942285375,-0.439942965511505,-0.376954778890568,-1.29042306803749,-1.28348573253024,1,0.124232179746615,-1.0063588284716,-0.653233794647883,-0.719412804505875,-0.10594276892921,-0.00232509656438621,0.00138233831264201,-1.22095354412677,-1.21593779449965
"US Open","2015-560:27","Hard","Mikhail Kukushkin","R",-0.228810109992614,"R128",-0.469277583149708,-1.22511482989293,-1.06481760445987,-1.17914704638429,-0.799744012624439,-0.0115145566282022,-0.621077873791126,-1.29042306803749,-1.51494744853844,1,-0.275273659380568,-1.0063588284716,-1.08402221591721,-1.26495483507138,-0.224624348362122,1.13046194960457,-1.36160323795238,-0.483545135321151,-1.21593779449965
"Zagreb","2015-2276:4","Hard","Damir Dzumhur","R",0.166030753775162,"R32",-0.307604733049913,-0.00309841889199019,-0.387252981161953,-0.08166208266234,-0.511808425807077,-1.01118084402257,0.111291410910548,-0.00244924029109999,0.799669711543533,1,0.390569405831404,0.62637999042868,-0.725031864859437,-0.355718117462208,-0.461987507227945,-0.325978538326946,0.00138233831264201,-0.483545135321151,-0.349419533892064
"Monte Carlo Masters","2015-410:50","Clay","Rafael Nadal","L",-0.508489055161455,"QF",-1.11596898354889,-0.410437222558971,0.682585897729497,1.3450683701762,0.639933921462369,-0.297133495883737,0.599537600711665,-0.324442697227697,0.105284563518942,1,-0.142105046338174,-0.679811064691542,-0.00705116274390005,1.00813695895155,0.962191445966994,-0.325978538326946,0.00138233831264201,-0.237742332385945,-0.522723186013581
"Indian Wells Masters","2015-404:16","Hard","Mardy Fish","R",0.297644375031087,"R128",0.339086667349265,2.44093440310989,0.504279417914255,-0.136536330848438,-0.0799050455810349,1.13096120039394,0.843660695612223,-1.29042306803749,-0.820562300513846,0,1.05641247104338,0.62637999042868,-1.44301256697497,-2.26511522444146,-2.00484803985579,0.806808507842014,0.00138233831264201,-2.94157316467321,-2.08245605510723
"Davis Cup WG PO: BRA vs CRO","2015-D080:2","Clay","Borna Coric","R",-0.354939830362876,"RR",-0.630950433249503,1.62625679577593,0.932214969470835,0.741451640129123,-0.0799050455810349,0.4169138522551,0.599537600711665,1.28552458745529,1.95697829158452,1,-0.807948111550145,1.60602328176885,1.42891024148717,0.826289615429712,-0.580669086660856,0.968635228723294,0.00138233831264201,-0.729347938256357,-0.0028122296490307
"Australian Open","2015-580:80","Hard","Ivan Dodig","R",-0.0642930834227076,"R64",1.30912376794803,-0.410437222558971,1.28882792910132,1.3450683701762,1.57572457861879,-0.297133495883737,2.06427617011501,-0.646436154164294,0.105284563518942,0,1.05641247104338,-0.353263300911486,-0.437839584013222,-0.537565460984041,-0.343305927795033,-1.62059230537719,0.00138233831264201,0.00806047054926132,0.343795074594003
"Bogota","2015-6718:16","Hard","Malek Jaziri","R",-0.0862286869653618,"R16",0.17741381724947,-0.410437222558971,0.967876265433884,-0.136536330848438,0.0640627478276459,2.70186536629938,0.599537600711665,0.641537673582094,-0.126177152489255,1,-0.142105046338174,-1.0063588284716,2.0032948031796,-0.355718117462208,-0.461987507227945,3.3960360419425,1.36436791457767,1.4828772881605,0.517098726715519
